Krok,CzasOczekiwania(s),ZatrzymanePojazdy,SredniaPredkosc(m/s)
0,0.0,0,11.2
1,0.0,0,8.54
2,0.0,0,9.48
3,0.0,0,10.64
4,0.0,0,12.12
5,0.0,0,10.58
6,0.0,0,10.65
7,0.0,1,9.49
8,0.0,0,8.67
9,0.0,0,8.09
10,0.0,0,7.87
11,2.0,2,7.64
12,4.0,2,7.92
13,7.0,3,8.24
14,10.0,3,8.6
15,14.0,4,8.55
16,0.0,0,8.62
17,0.0,0,8.72
18,0.0,0,9.11
19,0.0,0,9.76
20,0.0,0,9.98
21,0.0,0,10.73
22,0.0,0,11.38
23,0.0,0,11.5
24,0.0,0,11.58
25,0.0,0,10.65
26,0.0,0,9.59
27,0.0,0,8.13
28,1.0,1,7.63
29,6.0,5,7.14
30,13.0,7,7.0
31,22.0,9,6.82
32,12.0,5,7.09
33,4.0,2,7.63
34,1.0,1,8.38
35,2.0,1,9.08
36,3.0,1,9.94
37,4.0,1,10.64
38,5.0,1,10.89
39,7.0,2,10.86
40,3.0,2,10.85
41,3.0,1,10.82
42,0.0,0,10.36
43,0.0,0,10.02
44,1.0,1,9.39
45,3.0,2,9.18
46,6.0,3,8.74
47,11.0,5,8.68
48,17.0,6,8.87
49,25.0,8,9.15
50,25.0,6,9.21
51,29.0,6,9.21
52,35.0,6,9.21
53,22.0,4,9.37
54,20.0,4,9.6
55,19.0,3,9.86
56,24.0,5,10.09
57,29.0,5,9.98
58,34.0,5,9.97
59,36.0,5,9.66
60,43.0,7,9.08
61,41.0,5,8.78
62,26.0,3,8.45
63,15.0,3,8.05
64,10.0,5,7.96
65,13.0,4,8.12
66,18.0,5,8.62
67,24.0,6,8.82
68,30.0,6,8.93
69,33.0,6,8.98
70,39.0,6,9.24
71,29.0,4,9.33
72,35.0,6,9.65
73,41.0,6,9.66
74,48.0,7,9.66
75,55.0,7,9.59
76,64.0,9,9.16
77,73.0,9,8.72
78,82.0,9,8.46
79,72.0,9,8.44
80,63.0,8,8.2
81,62.0,8,8.16
82,61.0,7,8.15
83,46.0,8,8.24
84,39.0,8,8.57
85,34.0,8,8.92
86,33.0,9,9.11
87,33.0,8,9.29
88,37.0,8,9.27
89,45.0,8,8.94
90,54.0,9,8.79
91,63.0,9,8.83
92,75.0,12,8.6
93,74.0,10,8.73
94,77.0,9,8.64
95,86.0,9,8.7
96,96.0,10,8.76
97,107.0,11,8.99
98,118.0,11,8.93
99,129.0,11,8.82
100,140.0,11,8.86
101,85.0,9,8.81
102,58.0,8,8.91
103,45.0,5,8.8
104,52.0,7,9.02
105,59.0,7,8.67
106,68.0,9,8.67
107,78.0,10,8.69
108,51.0,8,8.82
109,30.0,7,8.94
110,27.0,6,8.72
111,26.0,6,8.51
112,28.0,7,8.2
113,35.0,8,8.07
114,45.0,10,8.07
115,57.0,12,7.88
116,57.0,12,7.76
117,49.0,10,7.4
118,30.0,6,7.23
119,33.0,8,7.37
120,37.0,9,7.2
121,48.0,11,7.55
122,61.0,13,7.55
123,75.0,14,7.69
124,90.0,15,8.0
125,90.0,15,8.23
126,86.0,13,8.43
127,88.0,12,8.52
128,86.0,10,8.62
129,90.0,10,9.1
130,94.0,9,9.31
131,104.0,10,9.58
132,114.0,10,9.73
133,127.0,13,9.68
134,132.0,12,9.45
135,144.0,12,8.96
136,159.0,15,8.3
137,177.0,18,7.62
138,185.0,16,7.15
139,179.0,15,6.69
140,127.0,12,6.64
141,91.0,12,6.53
142,74.0,13,6.87
143,61.0,12,7.03
144,61.0,13,7.26
145,70.0,15,7.36
146,79.0,16,7.55
147,88.0,16,7.63
148,101.0,16,7.62
149,116.0,17,7.54
150,131.0,16,7.4
151,129.0,16,7.18
152,129.0,16,7.17
153,130.0,17,7.3
154,133.0,17,7.19
155,136.0,17,7.04
156,150.0,16,6.76
157,168.0,18,6.56
158,186.0,18,6.35
159,206.0,20,6.35
160,229.0,23,6.17
161,222.0,22,6.3
162,222.0,21,6.5
163,219.0,20,6.78
164,220.0,19,6.94
165,237.0,19,7.14
166,257.0,20,7.34
167,278.0,21,7.31
168,300.0,22,7.37
169,323.0,23,7.25
170,348.0,25,7.32
171,373.0,25,7.32
172,400.0,27,7.42
173,427.0,27,7.48
174,455.0,28,7.47
175,484.0,29,7.54
176,514.0,30,7.59
177,544.0,30,7.6
178,574.0,30,7.6
179,604.0,30,7.51
180,634.0,30,7.37
181,664.0,30,7.18
182,680.0,29,6.87
183,710.0,30,6.61
184,742.0,32,6.54
185,776.0,34,6.72
186,810.0,34,6.79
187,845.0,35,6.89
188,880.0,35,6.84
189,909.0,34,6.8
