# Time;running vehicles [#];halting [#];avg. speed [m/s];avg. relative speed
127.00;85.78;37.05;4.68;0.33
187.00;104.65;52.18;3.76;0.27
247.00;115.83;66.85;3.24;0.23
307.00;128.55;54.08;3.50;0.25
367.00;139.55;60.17;3.41;0.25
427.00;137.35;67.77;2.87;0.21
487.00;142.33;63.82;2.74;0.19
547.00;149.08;103.87;1.96;0.14
607.00;156.63;100.90;2.10;0.15
667.00;155.02;75.67;2.40;0.17
727.00;160.93;91.27;2.27;0.17
787.00;163.60;69.95;2.54;0.18
847.00;177.57;76.87;2.63;0.18
907.00;173.77;99.42;1.99;0.15
967.00;176.28;69.42;1.98;0.14
1027.00;174.40;87.13;2.71;0.20
1087.00;174.20;61.00;2.68;0.19
1147.00;167.43;52.68;3.10;0.23
1207.00;160.50;46.20;3.66;0.26
1267.00;157.08;73.47;2.88;0.21
1327.00;160.53;67.28;2.58;0.18
1387.00;160.83;66.87;2.44;0.18
1447.00;160.02;75.95;2.43;0.18
1507.00;165.95;62.30;2.57;0.18
1567.00;168.58;83.87;2.33;0.17
1627.00;162.88;97.73;2.28;0.16
1687.00;150.62;89.28;1.51;0.11
1747.00;165.67;87.48;2.42;0.17
1807.00;165.33;74.33;2.55;0.19
1867.00;161.23;82.80;1.77;0.12
1927.00;178.90;104.83;2.06;0.15
1987.00;174.58;98.28;1.61;0.12
2047.00;168.50;84.77;2.79;0.21
2107.00;165.18;51.93;3.00;0.21
2167.00;176.18;98.12;1.84;0.13
2227.00;184.42;128.03;1.39;0.09
2287.00;203.60;168.05;0.97;0.07
2347.00;201.92;162.47;1.01;0.07
2407.00;201.72;168.43;0.90;0.07
2467.00;202.52;135.75;1.66;0.12
2527.00;209.32;81.03;1.75;0.12
2587.00;213.28;124.92;0.81;0.06
2647.00;214.32;166.37;0.76;0.05
2707.00;213.93;184.82;0.33;0.02
2767.00;221.77;216.27;0.30;0.02
2827.00;223.18;211.00;0.69;0.06
2887.00;227.15;133.47;1.88;0.14
2947.00;220.33;137.22;1.56;0.11
3007.00;220.75;160.90;1.23;0.09
3067.00;223.13;161.17;1.00;0.07
3127.00;229.98;146.43;1.16;0.08
3187.00;231.55;141.28;1.24;0.09
3247.00;236.35;165.77;1.42;0.10
3307.00;237.88;189.80;0.85;0.06
3367.00;241.78;204.32;0.81;0.06
3427.00;245.58;214.52;0.76;0.05
3487.00;245.38;214.47;0.72;0.05
3547.00;251.08;187.42;0.96;0.07
3607.00;250.33;109.87;2.40;0.17
3667.00;233.87;114.37;1.61;0.11
3727.00;232.70;182.13;0.90;0.06
3787.00;237.45;222.83;0.49;0.03
3847.00;247.63;239.85;0.11;0.01
3907.00;262.58;260.78;0.06;0.01
3967.00;264.58;201.72;1.25;0.10
4027.00;253.98;107.45;2.19;0.16
4087.00;225.87;97.65;2.41;0.17
4147.00;215.65;155.28;1.52;0.11
4207.00;221.45;182.73;0.93;0.06
4267.00;218.22;194.40;0.39;0.02
4327.00;217.33;211.37;0.06;0.00
4387.00;217.32;200.50;0.50;0.04
4447.00;215.12;96.17;1.63;0.12
4507.00;215.12;102.17;1.38;0.09
4567.00;212.58;173.52;0.31;0.02
4627.00;216.00;214.52;0.00;0.00
4687.00;216.00;216.00;0.00;0.00
4747.00;216.00;214.30;0.04;0.00
4807.00;216.55;177.15;0.91;0.07
4867.00;216.92;87.22;2.80;0.21
4927.00;209.77;103.98;2.42;0.17
4987.00;213.33;55.00;4.35;0.28
