# Time;running vehicles [#];halting [#];avg. speed [m/s];avg. relative speed
0.00;26.62;2.13;9.39;0.68
60.00;58.47;7.82;8.66;0.62
120.00;75.77;17.60;7.54;0.54
180.00;91.17;32.93;5.97;0.43
240.00;88.32;27.75;5.97;0.43
300.00;103.88;29.85;5.96;0.43
360.00;113.23;45.70;5.21;0.38
420.00;106.67;43.35;4.78;0.34
480.00;91.20;38.63;5.34;0.38
540.00;96.17;41.53;4.65;0.34
600.00;110.27;50.88;4.88;0.35
660.00;100.15;34.35;5.40;0.39
720.00;98.58;38.83;5.17;0.37
780.00;98.80;46.47;4.37;0.31
840.00;109.57;46.92;4.08;0.29
900.00;115.55;49.73;4.43;0.32
960.00;121.18;44.33;5.09;0.37
1020.00;119.30;57.57;4.43;0.32
1080.00;122.70;48.03;5.15;0.37
1140.00;108.58;45.47;4.71;0.34
1200.00;104.63;37.38;5.25;0.38
1260.00;105.88;38.23;5.82;0.42
1320.00;115.12;39.97;5.63;0.41
1380.00;105.82;40.27;5.22;0.38
1440.00;117.60;53.30;4.40;0.32
1500.00;114.30;57.58;4.36;0.31
1560.00;114.02;45.05;4.62;0.33
1620.00;120.22;59.82;4.30;0.31
1680.00;103.63;47.95;4.49;0.32
1740.00;100.50;49.12;4.33;0.31
1800.00;107.88;42.73;4.67;0.34
1860.00;114.80;51.55;4.53;0.33
1920.00;130.83;61.32;4.52;0.33
1980.00;133.88;62.97;4.14;0.30
2040.00;126.58;69.13;3.85;0.28
2100.00;137.87;74.90;3.75;0.27
2160.00;136.73;89.02;2.75;0.20
2220.00;153.48;107.87;2.12;0.15
2280.00;181.63;138.12;1.93;0.14
2340.00;196.07;148.23;1.61;0.12
2400.00;190.10;122.25;2.47;0.18
2460.00;192.65;128.77;2.20;0.16
2520.00;211.22;163.17;1.69;0.12
2580.00;217.98;149.35;2.19;0.16
2640.00;207.97;156.93;1.68;0.12
2700.00;207.52;130.18;2.18;0.16
2760.00;201.67;142.90;1.95;0.14
2820.00;210.35;128.75;2.34;0.17
2880.00;214.13;147.15;1.53;0.11
2940.00;211.18;137.67;2.05;0.15
3000.00;208.32;120.27;2.76;0.20
3060.00;211.38;127.62;2.66;0.19
3120.00;198.70;116.87;2.88;0.21
3180.00;180.77;118.57;1.99;0.14
3240.00;179.97;104.27;2.20;0.16
3300.00;208.85;151.43;1.89;0.14
3360.00;190.18;127.43;1.92;0.14
3420.00;187.78;124.77;1.81;0.13
3480.00;192.18;102.58;2.22;0.16
3540.00;198.22;121.93;1.86;0.13
3600.00;191.82;118.43;1.69;0.12
3660.00;173.30;96.33;2.82;0.20
3720.00;168.53;83.78;3.08;0.22
3780.00;167.05;66.82;3.55;0.26
3840.00;157.85;70.88;3.72;0.27
3900.00;134.90;64.07;3.18;0.23
3960.00;114.58;41.85;4.47;0.32
4020.00;86.20;38.12;4.85;0.35
4080.00;66.07;27.48;4.89;0.35
4140.00;47.78;14.68;5.33;0.38
4200.00;28.13;7.82;6.70;0.48
4260.00;11.33;0.20;10.63;0.77
4320.00;3.50;0.00;10.50;0.64
