step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.535436051391308,0,0.0,0.9600288493057605,0,0.0
10.0,0,0.0,0.0,12.577932571121167,0,0.0,0.9378664892503945,0,0.0
15.0,1,1.0,0.25,6.257320630904836,1,1.0,0.48777319628133997,1,1.0
20.0,0,0.0,0.0,8.461039622283888,0,0.0,0.7586692312929487,0,0.0
25.0,1,2.0,0.2,12.152625611708302,1,2.0,0.8217008958818951,1,2.0
30.0,1,7.0,0.4666666666666667,11.936437741889078,1,5.0,0.8256938975033011,1,5.0
35.0,2,16.0,0.8,10.647494380353587,2,14.0,0.7292872227961696,2,14.0
40.0,5,36.0,1.7142857142857142,7.338993083141107,5,34.0,0.46803186175672157,5,34.0
45.0,10,75.0,3.5714285714285716,5.1285068648083625,10,73.0,0.3041231743707156,10,73.0
50.0,14,136.0,5.913043478260869,4.044767365931818,14,134.0,0.1806495715125384,14,134.0
55.0,17,215.0,8.958333333333334,3.502376400546448,17,214.0,0.18727280295076942,17,214.0
60.0,19,304.0,11.25925925925926,3.6521655078603286,19,303.0,0.19614374387244374,19,303.0
65.0,21,403.0,13.433333333333334,2.964301641099003,21,402.0,0.14937319409053137,21,402.0
70.0,24,519.0,16.21875,2.386050407680466,24,518.0,0.12516448672895494,24,518.0
75.0,28,651.0,20.34375,1.3729641562806658,28,650.0,0.035005009459413435,28,650.0
80.0,29,795.0,22.083333333333332,2.026018650417179,29,794.0,0.11893329504588088,29,794.0
85.0,31,945.0,24.86842105263158,1.231951014969022,31,944.0,0.03566261609962157,31,944.0
90.0,35,1118.0,28.666666666666668,1.285190685144703,35,1117.0,0.04036320900682717,35,1117.0
95.0,36,1294.0,32.35,1.0650818045297772,36,1293.0,0.05058650203493587,36,1293.0
100.0,38,1479.0,36.975,0.6487061010372612,38,1478.0,0.02331591176018107,38,1478.0
