step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.762345172704748,0,0.0,0.9081465732696495,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.716419899508812,0,0.0,0.9626182274861741,0,0.0,1.0,0,0.0,0.9782791588877193,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.43032194798914,0,0.0,0.7548100830511776,0,0.0,0.9610709974542557,0,0.0,0.9541781814408057,0,0.0,1.0,0,0.0
20.0,1,4.0,0.2857142857142857,9.656993823579652,1,4.0,0.5945682411049039,0,0.0,0.9637782091403251,0,0.0,0.7066261502723726,0,0.0,1.0,1,4.0
25.0,4,19.0,1.2666666666666666,8.432786415922099,2,14.0,0.5905352871416273,0,0.0,0.9350673149511688,2,5.0,0.518701000936612,0,0.0,0.9531051102439503,4,19.0
30.0,5,44.0,2.4444444444444446,8.78271163547048,2,24.0,0.5723840220550472,0,0.0,0.9483823656829953,3,20.0,0.42725765308722113,0,0.0,0.9777610591263384,5,44.0
35.0,7,74.0,4.111111111111111,7.742871302799234,2,34.0,0.43928352307730645,0,0.0,0.9751669113353812,5,40.0,0.36228954860022883,0,0.0,0.9424587472913746,7,74.0
40.0,9,113.0,5.947368421052632,4.67868225858546,3,46.0,0.19164914849500825,0,0.0,0.02099264629432582,6,67.0,0.11316811374795425,0,0.0,0.9957619039741211,9,113.0
45.0,8,145.0,8.529411764705882,3.892300211527739,2,56.0,0.3536597873984911,1,5.0,0.0,5,89.0,0.055285032445985406,0,0.0,1.0,8,150.0
50.0,8,185.0,9.736842105263158,7.2879849380077575,2,64.0,0.556651837716499,1,10.0,0.0,5,113.0,0.2535063524086749,0,0.0,1.0,8,187.0
55.0,9,226.0,10.761904761904763,7.249126821343757,3,75.0,0.5451202398412688,1,15.0,0.48282476228052434,5,138.0,0.3061880001046846,0,0.0,1.0,9,228.0
60.0,8,251.0,13.210526315789474,6.738863424623037,3,90.0,0.37003086796794354,0,0.0,0.7247443012518885,5,161.0,0.3906308780574565,0,0.0,1.0,8,251.0
65.0,8,291.0,14.55,7.097851952249329,3,105.0,0.26773360347975456,0,0.0,0.9833640864417323,5,186.0,0.4093243417701547,0,2.0,0.9039334068289642,8,293.0
70.0,10,336.0,14.608695652173912,6.965566625049478,4,124.0,0.2524268305087974,0,0.0,0.9787021981706352,6,212.0,0.13319756490967877,0,2.0,0.8447518538887154,10,338.0
75.0,12,390.0,17.727272727272727,6.099748951713716,5,147.0,0.16605968417296907,1,1.0,0.6995481115418933,6,242.0,0.0,0,0.0,1.0,12,390.0
80.0,11,444.0,18.5,5.97707107416668,5,172.0,0.16328267391018603,0,0.0,0.638387025579325,6,272.0,0.13733862505750483,0,0.0,1.0,11,444.0
