Czas(s),Calkowity czas oczekiwania(s)
5.0,0.0
10.0,0.0
15.0,1.0
20.0,13.0
25.0,36.0
30.0,72.0
35.0,133.0
40.0,201.0
45.0,216.0
50.0,74.0
55.0,41.0
60.0,61.0
65.0,96.0
70.0,131.0
75.0,167.0
80.0,207.0
85.0,247.0
90.0,121.0
95.0,13.0
100.0,38.0
105.0,86.0
110.0,158.0
115.0,248.0
120.0,355.0
125.0,481.0
130.0,633.0
135.0,560.0
140.0,367.0
145.0,255.0
150.0,103.0
155.0,59.0
160.0,88.0
165.0,118.0
170.0,152.0
175.0,200.0
180.0,21.0
185.0,22.0
190.0,68.0
195.0,146.0
200.0,250.0
205.0,372.0
210.0,516.0
215.0,684.0
220.0,873.0
225.0,648.0
230.0,415.0
235.0,222.0
240.0,55.0
245.0,48.0
250.0,76.0
255.0,106.0
260.0,137.0
265.0,102.0
270.0,14.0
275.0,59.0
280.0,132.0
285.0,238.0
290.0,375.0
295.0,532.0
300.0,706.0
305.0,896.0
310.0,913.0
315.0,661.0
320.0,472.0
325.0,253.0
330.0,36.0
335.0,52.0
340.0,75.0
345.0,102.0
350.0,134.0
355.0,17.0
360.0,23.0
365.0,70.0
370.0,150.0
375.0,255.0
380.0,387.0
385.0,545.0
390.0,730.0
395.0,920.0
400.0,767.0
405.0,520.0
410.0,297.0
415.0,75.0
420.0,45.0
425.0,80.0
430.0,120.0
435.0,165.0
440.0,212.0
445.0,3.0
450.0,34.0
455.0,92.0
460.0,181.0
465.0,301.0
470.0,452.0
475.0,636.0
480.0,826.0
485.0,933.0
490.0,698.0
495.0,480.0
500.0,242.0
505.0,48.0
510.0,36.0
515.0,64.0
520.0,94.0
525.0,129.0
530.0,49.0
535.0,18.0
540.0,61.0
545.0,125.0
550.0,221.0
555.0,349.0
560.0,503.0
565.0,680.0
570.0,870.0
575.0,805.0
580.0,569.0
585.0,388.0
590.0,157.0
595.0,25.0
600.0,44.0
605.0,69.0
610.0,102.0
615.0,151.0
620.0,31.0
625.0,36.0
630.0,88.0
635.0,167.0
640.0,276.0
645.0,413.0
650.0,584.0
655.0,774.0
660.0,964.0
665.0,721.0
670.0,523.0
675.0,314.0
680.0,119.0
685.0,95.0
690.0,135.0
695.0,180.0
700.0,235.0
705.0,218.0
710.0,12.0
715.0,51.0
720.0,123.0
725.0,228.0
730.0,370.0
735.0,544.0
740.0,734.0
745.0,924.0
750.0,942.0
755.0,701.0
760.0,485.0
765.0,274.0
770.0,69.0
775.0,102.0
780.0,150.0
785.0,218.0
790.0,288.0
795.0,143.0
800.0,25.0
805.0,66.0
810.0,143.0
815.0,249.0
820.0,391.0
825.0,569.0
830.0,759.0
835.0,949.0
840.0,802.0
845.0,601.0
850.0,416.0
855.0,141.0
860.0,75.0
865.0,123.0
870.0,183.0
875.0,248.0
880.0,320.0
885.0,83.0
890.0,36.0
895.0,93.0
900.0,181.0
905.0,299.0
910.0,452.0
915.0,634.0
920.0,824.0
925.0,928.0
930.0,697.0
935.0,492.0
940.0,269.0
945.0,44.0
950.0,59.0
955.0,74.0
960.0,92.0
965.0,112.0
970.0,11.0
975.0,15.0
980.0,56.0
985.0,121.0
990.0,220.0
995.0,351.0
1000.0,516.0
1005.0,706.0
1010.0,896.0
1015.0,833.0
1020.0,610.0
1025.0,443.0
1030.0,216.0
1035.0,86.0
1040.0,116.0
1045.0,151.0
1050.0,194.0
1055.0,250.0
1060.0,47.0
1065.0,30.0
1070.0,79.0
1075.0,155.0
1080.0,257.0
1085.0,390.0
1090.0,551.0
1095.0,737.0
1100.0,927.0
1105.0,690.0
1110.0,492.0
1115.0,281.0
1120.0,93.0
1125.0,75.0
1130.0,128.0
1135.0,186.0
1140.0,253.0
1145.0,259.0
1150.0,60.0
1155.0,53.0
1160.0,117.0
1165.0,209.0
1170.0,334.0
1175.0,493.0
1180.0,680.0
1185.0,870.0
1190.0,886.0
1195.0,644.0
1200.0,466.0
1205.0,224.0
1210.0,23.0
1215.0,44.0
1220.0,73.0
1225.0,115.0
1230.0,160.0
1235.0,47.0
1240.0,23.0
1245.0,67.0
