step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,5.807692991045769,0,0.0,0.6484497051619028,0,0.0,1.0,0,0.0,0.263527131602264,0,0.0
10.0,0,0.0,0.0,8.375412967325447,0,0.0,0.944722886094757,0,0.0,1.0,0,0.0,0.5016619157735853,0,0.0
15.0,0,0.0,0.0,8.865978264207738,0,0.0,0.23695664515480497,0,0.0,0.9453194970374604,0,0.0,0.6830898566647149,0,0.0
20.0,0,0.0,0.0,10.96354302864278,0,0.0,0.9548859321101826,0,0.0,0.9501011391839687,0,0.0,0.5995864278674512,0,0.0
25.0,1,0.0,0.0,10.152776203939613,0,0.0,0.7482135150449795,0,0.0,0.9750309489416022,1,0.0,0.6377768462269056,1,0.0
30.0,2,2.0,0.14285714285714285,10.077765563711333,1,0.0,0.6997789849113711,0,0.0,0.9423958230181041,1,2.0,0.45314364024502113,2,2.0
35.0,1,7.0,0.4117647058823529,9.900085134817004,0,0.0,0.5742429530327788,0,0.0,0.9416316972186147,1,7.0,0.5221977820742405,1,7.0
40.0,2,4.0,0.25,9.391296977233448,1,4.0,0.7824706782375441,0,0.0,0.9420855371712274,1,0.0,0.48739649099156973,2,4.0
45.0,5,16.0,0.9411764705882353,7.0217747903602366,2,10.0,0.5001328792337998,0,0.0,0.9904808539357897,3,6.0,0.2281865722989286,5,16.0
50.0,3,22.0,1.1,6.950524699246282,2,20.0,0.4530720506621186,0,0.0,1.0,1,9.0,0.31396547135230074,3,29.0
55.0,4,32.0,1.6842105263157894,7.345988485784282,3,32.0,0.37134778875862745,0,2.0,0.8719004398050806,1,2.0,0.38851839644725705,4,36.0
60.0,3,47.0,2.0434782608695654,7.365807176097337,3,47.0,0.2871877083000041,0,0.0,0.7195788303828067,0,0.0,0.47334300142889296,3,47.0
65.0,4,65.0,2.5,8.041899515557505,3,62.0,0.5107853845225718,0,0.0,0.9193460216229209,1,3.0,0.49065933982202176,4,65.0
70.0,9,95.0,3.392857142857143,6.4318755280946815,4,80.0,0.5014282495439566,0,0.0,0.9509317546502117,5,15.0,0.2574189968163175,9,95.0
