step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,3.080190928769298,1,0.0,0.0,0,0.0,1.0,0,0.0,0.3526898953064784,1,0.0
10.0,2,0.0,0.0,6.476154306092462,1,0.0,0.40216903589205333,0,0.0,1.0,1,0.0,0.5317682298405033,2,0.0
15.0,0,0.0,0.0,9.586706060881376,0,0.0,0.6060326572775157,0,0.0,0.98683755448447,0,0.0,0.7248909057520859,0,0.0
20.0,0,0.0,0.0,11.119378161135094,0,0.0,0.8608736588162207,0,0.0,0.9698491442416239,0,0.0,0.6510763284060042,0,0.0
25.0,3,0.0,0.0,8.897010621576797,2,0.0,0.6414953644389835,0,0.0,0.9338088174253912,1,0.0,0.46452651349245383,3,0.0
30.0,1,5.0,0.2631578947368421,10.567353126086596,0,0.0,0.8262771173928818,0,0.0,0.95736906664325,1,5.0,0.530379542857059,1,5.0
35.0,2,4.0,0.17391304347826086,8.265773653649429,1,2.0,0.5231924428632783,0,0.0,0.9416458240566744,1,2.0,0.4293083632711823,2,4.0
40.0,7,15.0,0.6,5.930605739181674,2,5.0,0.44496455917916433,0,2.0,0.7284679296021436,5,14.0,0.18188881636621115,7,21.0
45.0,7,17.0,0.6538461538461539,5.078478905216757,4,13.0,0.2216904489128832,0,2.0,0.7536483036111349,3,17.0,0.30123973127145515,7,32.0
50.0,2,4.0,0.14285714285714285,6.715498504871141,2,21.0,0.15420446578211602,0,4.0,0.7724431311649175,0,5.0,0.425260802605389,2,30.0
55.0,1,0.0,0.0,9.634056163314021,0,4.0,0.6174827444027411,0,2.0,0.7569798587679413,1,0.0,0.5584157841651864,1,6.0
60.0,0,0.0,0.0,10.510770314092506,0,0.0,0.7140638438972247,0,0.0,0.8604343640918595,0,0.0,0.5912292061745635,0,0.0
65.0,1,2.0,0.06896551724137931,10.344782531174191,0,0.0,0.8358793732212962,0,0.0,0.8338651737440491,0,0.0,0.6269074340665381,0,0.0
70.0,6,16.0,0.5333333333333333,6.938250350059921,0,0.0,0.7218199244860042,2,3.0,0.47628703739505984,3,6.0,0.3497670711078159,5,9.0
75.0,13,62.0,2.1379310344827585,4.626581333937901,1,0.0,0.0,6,24.0,0.14073800715015802,5,26.0,0.35210208974408913,12,50.0
80.0,12,83.0,2.7666666666666666,3.4689164295164483,1,0.0,0.3220579369683359,4,40.0,0.17077065532548744,6,53.0,0.1857842293365854,11,93.0
85.0,5,31.0,0.96875,5.122260106903309,0,2.0,0.6690889875128363,1,21.0,0.21543073965555598,4,76.0,0.31986618872610734,5,99.0
90.0,6,16.0,0.47058823529411764,6.544459077990115,0,0.0,0.8941435452178261,0,5.0,0.43347045304094234,6,97.0,0.17478134216185667,6,102.0
95.0,4,14.0,0.4,6.805912094658164,0,0.0,0.867577921118083,0,0.0,0.8349260129580274,4,100.0,0.16335978621026456,4,100.0
100.0,3,6.0,0.16666666666666666,7.37369741360252,1,2.0,0.6832515945273884,0,2.0,0.8965260422513899,2,61.0,0.25373946341882875,3,65.0
105.0,2,8.0,0.22857142857142856,7.397247375710845,1,3.0,0.3332580025666528,0,2.0,0.830240968114504,1,29.0,0.3954510820219003,2,34.0
110.0,5,27.0,0.84375,7.820627685111327,4,17.0,0.32043051240260556,0,2.0,0.8545961116618465,1,14.0,0.503355443108906,5,33.0
115.0,6,15.0,0.42857142857142855,6.219776820124427,3,27.0,0.29789009757360213,0,0.0,0.817855250322353,3,7.0,0.3579049945277254,6,34.0
120.0,10,29.0,0.8285714285714286,4.648495203871238,2,21.0,0.2972997777047312,1,1.0,0.34667036550935476,7,31.0,0.13898538565936688,10,53.0
125.0,8,24.0,0.6486486486486487,5.346512293546398,1,10.0,0.41002309029556117,0,3.0,0.5564682622975186,7,51.0,0.14552259119119643,8,64.0
130.0,3,9.0,0.24324324324324326,7.560085278491628,1,12.0,0.646622166959304,1,7.0,0.540412276449686,1,34.0,0.22180760124452653,3,53.0
135.0,5,25.0,0.6944444444444444,6.050210281554537,2,17.0,0.5412419214825511,2,15.0,0.32677255462401583,1,29.0,0.17849134705052835,5,61.0
140.0,10,50.0,1.6129032258064515,4.2919955879203515,2,24.0,0.3678775592351631,1,7.0,0.5073625568621395,7,55.0,0.0945724944514914,10,86.0
145.0,9,59.0,1.903225806451613,4.7391833720593795,4,41.0,0.3412628524466734,0,1.0,0.8516556307701153,5,67.0,0.15426863794953743,9,109.0
150.0,7,67.0,2.09375,6.168175313439901,4,59.0,0.39457915240765384,0,2.0,0.7823757498087072,3,43.0,0.2361964806008546,7,104.0
155.0,5,81.0,2.53125,7.311310519447108,4,79.0,0.373341638429168,1,4.0,0.4862031763911161,0,23.0,0.3627944298251038,5,106.0
160.0,7,114.0,3.4545454545454546,7.265244260359758,4,99.0,0.280048283511716,3,17.0,0.27981132539646336,0,16.0,0.6611326342680034,7,132.0
165.0,9,134.0,4.466666666666667,5.448369537959093,6,125.0,0.2521459911922027,3,19.0,0.24702680203844607,0,3.0,0.5733984965714416,9,147.0
170.0,10,158.0,5.096774193548387,5.104424179613028,7,157.0,0.31078731550384076,1,18.0,0.31152813051587297,2,7.0,0.35771476004016106,10,182.0
175.0,9,198.0,6.0,6.339495075581129,6,185.0,0.40512852908922325,0,7.0,0.5438333832536416,3,18.0,0.3101301773443831,9,210.0
180.0,5,78.0,2.1666666666666665,5.631961398746913,3,155.0,0.34253387930271134,0,4.0,0.6951529025860679,2,19.0,0.2709633249812918,5,178.0
185.0,8,16.0,0.43243243243243246,5.813110072231394,7,91.0,0.2415917022715684,0,4.0,0.7752790075460645,1,9.0,0.27919606588087975,8,104.0
190.0,7,19.0,0.5,6.357766642691898,7,115.0,0.19375833723819808,0,2.0,0.8232410408153902,0,0.0,0.4652493823443129,7,117.0
195.0,4,23.0,0.6388888888888888,6.973249824102782,4,116.0,0.2171888506660988,0,2.0,0.6078113700283239,0,0.0,0.73291122250605,4,118.0
200.0,5,44.0,1.1578947368421053,6.630495683753763,4,124.0,0.2627242644241612,0,0.0,0.5054064348244323,0,0.0,0.5183159721510843,4,124.0
205.0,8,78.0,2.108108108108108,6.440580665134976,4,138.0,0.44208524049945735,0,0.0,0.3241608226045931,3,9.0,0.49774274626877507,7,147.0
210.0,7,94.0,2.5405405405405403,5.3854220658997205,4,155.0,0.3184749122749089,0,0.0,0.41223535636417363,3,23.0,0.27028135773939055,7,178.0
215.0,9,110.0,2.8947368421052633,5.532595173513558,4,175.0,0.3971141821980962,0,0.0,0.5185649273788375,5,40.0,0.12214658948034686,9,215.0
220.0,9,127.0,3.3421052631578947,6.080784136742093,5,195.0,0.4312508927066027,0,0.0,0.7935636569260942,4,46.0,0.1893979087804926,9,241.0
225.0,8,145.0,3.918918918918919,5.967521489596177,4,215.0,0.40259757553135767,1,3.0,0.6304565510450187,2,34.0,0.1852365832900738,7,252.0
230.0,12,195.0,5.0,5.094524375686048,4,235.0,0.29595146524651395,3,15.0,0.35320779225492366,4,48.0,0.21738706206716782,11,298.0
235.0,12,102.0,2.6153846153846154,4.58195623688421,2,173.0,0.3845342382223796,2,23.0,0.24042352848146784,7,76.0,0.16560318272918959,11,272.0
240.0,11,104.0,2.6,4.505144389358695,2,53.0,0.478627764480288,0,8.0,0.3420705783842269,8,116.0,0.17364285642670874,10,177.0
245.0,16,157.0,3.5681818181818183,4.485886176652116,1,16.0,0.46524906044096725,1,5.0,0.39559568509842963,13,167.0,0.13567568650070222,15,188.0
250.0,19,235.0,5.0,5.786637105356052,3,17.0,0.6154058685445958,4,16.0,0.45595318181681804,11,222.0,0.17203563767550298,18,255.0
255.0,19,295.0,6.276595744680851,5.343451131304763,2,25.0,0.6177571860854157,5,37.0,0.355480883079848,12,278.0,0.144293307186804,19,340.0
260.0,21,218.0,4.541666666666667,3.7449916143255457,1,15.0,0.3643182975940497,8,73.0,0.10087610196803479,12,334.0,0.11886126057937152,21,422.0
265.0,23,165.0,3.4375,1.9750461691430914,6,17.0,0.17181787882123478,9,118.0,0.06760374927521726,8,327.0,0.09006791615330081,23,462.0
270.0,18,119.0,2.2884615384615383,3.233488022364452,8,47.0,0.14674026800268258,8,140.0,0.21228970399250885,2,253.0,0.16987481796118498,18,440.0
275.0,11,96.0,1.8113207547169812,5.370154018478338,7,67.0,0.3291456518733633,3,123.0,0.29674222675121914,1,149.0,0.27677203591324223,11,339.0
280.0,7,70.0,1.3725490196078431,6.606097915480417,4,66.0,0.39408187536341427,1,129.0,0.3218291696582099,2,90.0,0.4758177466654598,7,285.0
285.0,4,66.0,1.2941176470588236,6.9588247544310855,2,46.0,0.3605299856275725,1,98.0,0.366930134268278,1,23.0,0.5895857186313086,4,167.0
290.0,5,88.0,1.7959183673469388,6.751451331107624,3,45.0,0.28828779175649266,1,73.0,0.37781514747097855,1,26.0,0.5999297766487321,5,144.0
295.0,8,80.0,1.6326530612244898,5.630475585640985,4,53.0,0.2334795386132947,2,45.0,0.2935527384474999,2,31.0,0.5268814126582837,8,129.0
300.0,11,90.0,1.836734693877551,4.526298877027791,3,64.0,0.1391608414307505,7,69.0,0.11153112574855814,1,4.0,0.4332931325186492,11,137.0
305.0,18,126.0,2.4705882352941178,3.8328789659343596,4,79.0,0.15030269703101182,9,85.0,0.07171516570458547,5,21.0,0.23868075863233135,18,185.0
310.0,12,110.0,2.2448979591836733,4.770412113562733,6,102.0,0.32479199321565005,3,59.0,0.1930782910684337,3,31.0,0.3652173305406287,12,192.0
