Czas(s),Calkowity czas oczekiwania(s)
5.0,0.0
10.0,0.0
15.0,0.0
20.0,0.0
25.0,5.0
30.0,15.0
35.0,25.0
40.0,35.0
45.0,70.0
50.0,85.0
55.0,105.0
60.0,110.0
65.0,105.0
70.0,130.0
75.0,145.0
80.0,180.0
85.0,220.0
90.0,250.0
95.0,245.0
100.0,275.0
105.0,295.0
110.0,305.0
115.0,320.0
120.0,365.0
125.0,395.0
130.0,400.0
135.0,435.0
140.0,475.0
145.0,465.0
150.0,445.0
155.0,455.0
160.0,475.0
165.0,465.0
170.0,535.0
175.0,480.0
180.0,410.0
185.0,375.0
190.0,340.0
195.0,270.0
200.0,300.0
205.0,330.0
210.0,350.0
215.0,380.0
220.0,375.0
225.0,460.0
230.0,510.0
235.0,545.0
240.0,590.0
245.0,635.0
250.0,670.0
255.0,715.0
260.0,710.0
265.0,620.0
270.0,540.0
275.0,445.0
280.0,450.0
285.0,350.0
290.0,335.0
295.0,325.0
300.0,295.0
305.0,265.0
310.0,250.0
315.0,235.0
320.0,250.0
325.0,255.0
330.0,210.0
335.0,215.0
340.0,255.0
345.0,230.0
350.0,260.0
355.0,250.0
360.0,275.0
365.0,260.0
370.0,270.0
375.0,295.0
380.0,270.0
385.0,270.0
390.0,270.0
395.0,265.0
400.0,285.0
405.0,310.0
410.0,260.0
415.0,315.0
420.0,345.0
425.0,345.0
430.0,395.0
435.0,410.0
440.0,430.0
445.0,420.0
450.0,365.0
455.0,375.0
460.0,375.0
465.0,310.0
470.0,305.0
475.0,315.0
480.0,330.0
485.0,335.0
490.0,230.0
495.0,220.0
500.0,235.0
505.0,230.0
510.0,265.0
515.0,270.0
520.0,225.0
525.0,255.0
530.0,245.0
535.0,235.0
540.0,260.0
545.0,250.0
550.0,285.0
555.0,220.0
560.0,240.0
565.0,260.0
570.0,280.0
575.0,295.0
580.0,255.0
585.0,250.0
590.0,225.0
595.0,225.0
600.0,185.0
605.0,200.0
610.0,235.0
615.0,245.0
620.0,240.0
625.0,195.0
630.0,170.0
635.0,170.0
640.0,175.0
645.0,185.0
650.0,210.0
655.0,220.0
660.0,225.0
665.0,245.0
670.0,275.0
675.0,285.0
680.0,275.0
685.0,265.0
690.0,255.0
695.0,235.0
700.0,235.0
705.0,250.0
710.0,225.0
715.0,235.0
720.0,225.0
725.0,250.0
730.0,275.0
735.0,310.0
740.0,270.0
745.0,280.0
750.0,290.0
755.0,260.0
760.0,270.0
765.0,285.0
770.0,275.0
775.0,300.0
780.0,325.0
785.0,325.0
790.0,360.0
795.0,360.0
800.0,360.0
805.0,365.0
810.0,385.0
815.0,375.0
820.0,375.0
825.0,345.0
830.0,260.0
835.0,290.0
840.0,300.0
845.0,290.0
850.0,280.0
855.0,265.0
860.0,225.0
865.0,195.0
870.0,200.0
875.0,200.0
880.0,225.0
885.0,255.0
890.0,255.0
895.0,230.0
900.0,220.0
905.0,225.0
910.0,220.0
915.0,250.0
920.0,245.0
925.0,245.0
930.0,275.0
935.0,260.0
940.0,255.0
945.0,275.0
950.0,285.0
955.0,235.0
960.0,250.0
965.0,270.0
970.0,290.0
975.0,310.0
980.0,265.0
985.0,280.0
990.0,315.0
995.0,320.0
1000.0,295.0
1005.0,295.0
1010.0,320.0
1015.0,310.0
1020.0,280.0
1025.0,325.0
1030.0,335.0
1035.0,320.0
1040.0,330.0
1045.0,350.0
1050.0,375.0
1055.0,370.0
1060.0,385.0
1065.0,390.0
1070.0,405.0
1075.0,410.0
1080.0,415.0
1085.0,405.0
1090.0,335.0
1095.0,365.0
1100.0,350.0
1105.0,385.0
1110.0,385.0
1115.0,395.0
1120.0,395.0
1125.0,425.0
1130.0,475.0
1135.0,520.0
1140.0,500.0
1145.0,420.0
1150.0,450.0
1155.0,455.0
1160.0,500.0
1165.0,490.0
1170.0,395.0
1175.0,390.0
1180.0,400.0
1185.0,400.0
1190.0,380.0
1195.0,420.0
1200.0,455.0
1205.0,430.0
1210.0,445.0
1215.0,455.0
1220.0,395.0
1225.0,410.0
1230.0,410.0
1235.0,370.0
1240.0,365.0
1245.0,380.0
